csv_category,nav_top_menu,nav_column,nav_item_matched,status
LGL500 Outlet Point Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
LGP500 Outlet Point Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Lanthanated Tungsten Electrodes,TIG WELDING,TIG Welding Torches & Tungsten,Lanthanated Tungsten,MAPPED
Leak Detection Spray,WELDING WORKSHOP,Welding Chemicals & Consumables,Welding Chemicals & Sprays,MAPPED
Lighting Towers,WELDING MACHINES,Welding Power & Cooling,Lighting Towers,MAPPED
Lightweight Welding Nozzles,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Lightweight Welding Nozzles,MAPPED
Lineleader Gas Control Outlet Points,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Low Noise Compressors,WELDING WORKSHOP,Air Tools & Compressors,Low Noise Compressors,MAPPED
MIG Gas Welding Hoses,MIG WELDING,MIG Welding Accessories,MIG Gas Welding Hoses,MAPPED
MIG Liners,MIG WELDING,MIG Welding Torches & Parts,MIG Liners,MAPPED
MIG Torches & Consumables,MIG WELDING,MIG Welding Torches & Parts,[Parent],MAPPED
MIG Welders,MIG WELDING,MIG Welding Machines,[Parent],MAPPED
MIG Welding Nozzles,MIG WELDING,MIG Welding Torches & Parts,MIG Welding Nozzles,MAPPED
MIG Welding Supplies,MIG WELDING,MIG Welding Wire,[Parent],MAPPED
MIG Welding Wire,MIG WELDING,MIG Welding Wire,[Column],MAPPED
MMA Stick Electrodes,ARC WELDING,MMA Welding Electrodes,[Parent],MAPPED
MMA/ARC Welding Supplies,ARC WELDING,Arc/MMA Welding Machines,[Parent],MAPPED
Magnetic Drills,WELDING MACHINES,Cutting Machines,Magnetic Drills,MAPPED
Magnetic Pipe Cutting Machine Spares,PIPE WELDING,Pipe Cutting & Preparation,Pipe Cutting Machines,MAPPED
Magnetic Pipe Cutting Machines,PIPE WELDING,Pipe Cutting & Preparation,Pipe Cutting Machines,MAPPED
Magnetic Welding Positioners,WELDING WORKSHOP,Welding Tools & Equipment,Magnetic Welding Positioners,MAPPED
Magswitch Magnetic Earth Clamps,WELDING WORKSHOP,Welding Tools & Equipment,Magnetic Welding Positioners,MAPPED
Manifold & Regulator Parts/Connectors,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Manual Changeover Manifolds,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Manual Changeover Manifolds (0 - 10 Bar),GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Manual Changeover Manifolds (0 - 6 Bar),GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Manual Pipe Cutting Machine Spares,PIPE WELDING,Pipe Cutting & Preparation,Pipe Cutting Machines,MAPPED
Medical Trolleys & Wall Brackets,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Sub-cat],MAPPED
Medium Duty Welding Benches,WELDING WORKSHOP,Welding Benches & Tables,Medium Duty Welding Benches,MAPPED
Mega-Pipe Stands,PIPE WELDING,Pipe Stands & Handling,Roller Stands,MAPPED
Metal Saws & Magnetic Drills,WELDING MACHINES,Cutting Machines,[Parent],MAPPED
Mild Steel MIG Wire,MIG WELDING,MIG Welding Wire,Mild Steel MIG Wire,MAPPED
Mobile Work Benches with Steel Top,WELDING WORKSHOP,Welding Benches & Tables,Mobile Work Benches,MAPPED
Mosa Welder Generators,WELDING MACHINES,Welding Power & Cooling,Mosa Welder Generators,MAPPED
Multi Process Welding Machines,WELDING MACHINES,Welding Machines,Multi Process Welders,MAPPED
Multi-Stand Pipe Stands,PIPE WELDING,Pipe Stands & Handling,Roller Stands,MAPPED
NEVOC Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,NEVOC Regulators,MAPPED
NFF Cutting Nozzles,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,NFF Cutting Nozzles,MAPPED
Nylon Drain Test Plugs,PIPE WELDING,Pipe Welding Accessories,Drain Test Plugs,MAPPED
Offers & Deals,RED BANNER STRIP,Offers Banner,Shop our latest offers & deals,MAPPED
On Torch Fume Extraction & Accessories,FUME EXTRACTION,On-Torch & Bench Extraction,On-Torch Fume Extraction,MAPPED
Outlet Point Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Oxy Fuel Hoses,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Oxy Fuel Hoses,MAPPED
Oxy Fuel Nozzles,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,[Parent],MAPPED
Oxy Fuel Torches,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,[Parent],MAPPED
Oxy Propane Gouging Nozzles PGNM,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy Propane Gouging Nozzles PGNM,MAPPED
Oxy-Acetylene Torches,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Oxy-Acetylene Torches,MAPPED
Oxy-Acetylene Welding Rods,GAS & OXY-FUEL,Oxy-Fuel Welding Rods,[Parent],MAPPED
Oxy-Acetylene Welding Rods - Aluminium,GAS & OXY-FUEL,Oxy-Fuel Welding Rods,Aluminium Welding Rods,MAPPED
Oxy-Acetylene Welding Rods - Brazing,GAS & OXY-FUEL,Oxy-Fuel Welding Rods,Brazing Rods,MAPPED
Oxy-Acetylene Welding Rods - Steel,GAS & OXY-FUEL,Oxy-Fuel Welding Rods,Steel Welding Rods,MAPPED
Oxy-Fuel Equipment,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,[Parent],MAPPED
Oxy-Propane Torches,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Oxy-Propane Torches,MAPPED
Oxy/Acetylene Cutting Nozzle ANME,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy/Acetylene Cutting Nozzles ANME,MAPPED
Oxy/Acetylene Cutting Nozzles ANME,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy/Acetylene Cutting Nozzles ANME,MAPPED
Oxy/Acetylene Gouging Nozzles AGNM,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy/Acetylene Gouging Nozzles AGNM,MAPPED
Oxy/Propane Cutting Nozzle PNM,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy/Propane Cutting Nozzles PNM,MAPPED
Oxy/Propane Cutting Nozzle PNME,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy/Propane Cutting Nozzles PNM,MAPPED
Oxy/Propane Cutting Nozzles PNM/PNME,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy/Propane Cutting Nozzles PNM,MAPPED
Oxygen High Pressure Flexible Gas Hoses,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",High Pressure Gas Hoses,MAPPED
