name,slug,full_path,parent,level
Gas Cylinder Trolleys - Reflex UK,gas-cylinder-trolleys-reflex-uk,gas-oxy-fuel/storage/trolleys/gas-cylinder-trolleys-reflex-uk,gas-oxy-fuel/storage,2
Auto Changeover Manifolds (2 x 1 / 0 - 10 Bar),auto-changeover-manifolds-2-x-1-0-10-bar,gas-oxy-fuel/manifolds/auto-changeover-manifolds-2-x-1-0-10-bar,gas-oxy-fuel/storage,2
Auto Changeover Manifolds (2 x 1 / 0 - 6 Bar),auto-changeover-manifolds-2-x-1-0-6-bar,gas-oxy-fuel/manifolds/auto-changeover-manifolds-2-x-1-0-6-bar,gas-oxy-fuel/storage,2
Auto Changeover Manifolds (MCP 2 x 1 / 0 - 10 Bar),auto-changeover-manifolds-mcp-2-x-1-0-10-bar,gas-oxy-fuel/manifolds/auto-changeover-manifolds-mcp-2-x-1-0-10-bar,gas-oxy-fuel/storage,2
Auto Changeover Manifolds (MCP 2 x 1 / 0 - 6 Bar),auto-changeover-manifolds-mcp-2-x-1-0-6-bar,gas-oxy-fuel/manifolds/auto-changeover-manifolds-mcp-2-x-1-0-6-bar,gas-oxy-fuel/storage,2
Gas Arc Auto Changeover Manifold Panels,gas-arc-auto-changeover-manifold-panels,gas-oxy-fuel/manifolds/gas-arc-auto-changeover-manifold-panels,gas-oxy-fuel/storage,2
Gas Changeover Manifold Panels,gas-changeover-manifold-panels,gas-oxy-fuel/manifolds/gas-changeover-manifold-panels,gas-oxy-fuel/storage,2
Manifold & Regulator Parts/Connectors,manifold-and-regulator-parts-connectors,gas-oxy-fuel/manifolds/manifold-and-regulator-parts-connectors,gas-oxy-fuel/storage,2
Manual Changeover Manifolds,manual-changeover-manifolds,gas-oxy-fuel/manifolds/manual-changeover-manifolds,gas-oxy-fuel/storage,2
Manual Changeover Manifolds (0 - 10 Bar),manual-changeover-manifolds-0-10-bar,gas-oxy-fuel/manifolds/manual-changeover-manifolds-0-10-bar,gas-oxy-fuel/storage,2
